Id,Receiving Time,Generated Time,Service Facility,IPv4 Address,DeviceVendor,DeviceProduct,DeviceVersion,SignatureID,Name,Severity,EventId
85,2021-08-04 15:53:0,2021-08-04 15:53:06,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,85
86,2021-08-04 15:53:0,2021-08-04 15:53:06,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,86
87,2021-08-04 15:53:0,2021-08-04 15:53:06,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,87
88,2021-08-04 15:53:0,2021-08-04 15:53:06,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,88
89,2021-08-04 15:53:0,2021-08-04 15:53:06,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,89
90,2021-08-04 15:53:0,2021-08-04 15:53:06,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,90
91,2021-08-04 15:53:0,2021-08-04 15:53:06,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,91
92,2021-08-04 15:53:0,2021-08-04 15:53:06,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,92
93,2021-08-04 15:53:0,2021-08-04 15:53:06,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,93
94,2021-08-04 15:53:0,2021-08-04 15:53:06,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,94
95,2021-08-04 15:53:0,2021-08-04 15:53:06,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,95
96,2021-08-04 15:53:0,2021-08-04 15:53:06,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,96
97,2021-08-04 15:53:0,2021-08-04 15:53:06,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,97
98,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,98
99,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,99
100,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,100
101,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,101
102,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,102
103,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,103
104,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,104
105,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,105
106,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,106
107,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,107
108,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,108
109,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,109
110,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,110
111,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,111
112,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,112
113,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,113
114,2021-08-04 15:53:1,2021-08-04 15:53:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,114
