['2021-08-04 15:52:36\tSyslog.Info\t172.20.0.10\tAug  4 15:52:31 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:52:46\tSyslog.Info\t172.20.0.10\tAug  4 15:52:40 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:52:46\tSyslog.Info\t172.20.0.10\tAug  4 15:52:41 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:52:46\tSyslog.Info\t172.20.0.10\tAug  4 15:52:44 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:01\tSyslog.Info\t172.20.0.10\tAug  4 15:52:55 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:01\tSyslog.Info\t172.20.0.10\tAug  4 15:52:56 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:11\tSyslog.Info\t172.20.0.10\tAug  4 15:53:06 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:11\tSyslog.Info\t172.20.0.10\tAug  4 15:53:07 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:11\tSyslog.Info\t172.20.0.10\tAug  4 15:53:07 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:11\tSyslog.Info\t172.20.0.10\tAug  4 15:53:07 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:11\tSyslog.Info\t172.20.0.10\tAug  4 15:53:07 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:11\tSyslog.Info\t172.20.0.10\tAug  4 15:53:07 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:11\tSyslog.Info\t172.20.0.10\tAug  4 15:53:07 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:16\tSyslog.Info\t172.20.0.10\tAug  4 15:53:14 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:16\tSyslog.Info\t172.20.0.10\tAug  4 15:53:15 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:21\tSyslog.Info\t172.20.0.10\tAug  4 15:53:16 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:21\tSyslog.Info\t172.20.0.10\tAug  4 15:53:20 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:21\tSyslog.Info\t172.20.0.10\tAug  4 15:53:21 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 14:11:06\tSyslog.Info\t172.20.0.10\tAug  5 14:11:08 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 14:11:06\tSyslog.Info\t172.20.0.10\tAug  5 14:11:08 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 14:11:11\tSyslog.Info\t172.20.0.10\tAug  5 14:11:14 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 14:11:11\tSyslog.Info\t172.20.0.10\tAug  5 14:11:14 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 14:43:27\tSyslog.Info\t172.20.0.10\tAug  5 14:43:27 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 14:43:27\tSyslog.Info\t172.20.0.10\tAug  5 14:43:31 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 14:43:27\tSyslog.Info\t172.20.0.10\tAug  5 14:43:31 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 14:43:32\tSyslog.Info\t172.20.0.10\tAug  5 14:43:35 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
