['2021-08-05 12:14:39\tSyslog.Info\t172.20.0.10\tAug  5 12:12:48 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.10.220 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 12:19:06\tSyslog.Info\t172.20.0.10\tAug  5 12:19:06 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.20.0.30 (FS) msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 12:33:04\tSyslog.Info\t172.20.0.10\tAug  5 12:33:07 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.20.0.30 (FS) msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 12:33:44\tSyslog.Info\t172.20.0.10\tAug  5 12:33:43 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.20.0.30 (FS) msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 12:36:09\tSyslog.Info\t172.20.0.10\tAug  5 12:36:14 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.38 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 12:36:24\tSyslog.Info\t172.20.0.10\tAug  5 12:36:25 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.38 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 14:03:20\tSyslog.Info\t172.20.0.10\tAug  5 14:03:22 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.32 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 14:24:49\tSyslog.Info\t172.20.0.10\tAug  5 14:24:52 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.34 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 14:29:09\tSyslog.Info\t172.20.0.10\tAug  5 14:29:11 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.20.0.30 (FS) msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 14:49:23\tSyslog.Info\t172.20.0.10\tAug  5 14:49:28 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.20.0.30 (FS) msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 15:33:51\tSyslog.Info\t172.20.0.10\tAug  5 15:33:51 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.20.0.20 (AD) msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 15:45:28\tSyslog.Info\t172.20.0.10\tAug  5 15:45:28 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.33 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-05 16:13:17\tSyslog.Info\t172.20.0.10\tAug  5 16:13:18 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.20.0.30 (FS) msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
